NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	I	1209	I	2
#<<<				
2	you	1213	YOU	2
2	you	1215	THOU	2
2	you	2312	YOU (OBLIQUE CASE OF YOU)	2
#>>>				
#<<<				
3	we	1212	WE	2
3	we	1130	WE (EXCLUSIVE)	2
#>>>				
4	this	1214	THIS	2
5	that	78	THAT	2
6	who	1235	WHO	2
7	what	1236	WHAT	2
8	not	1240	NOT	2
9	all	98	ALL	2
#<<<				
10	many	1198	MANY	2
10	many	3453	MANY PIECES	2
#>>>				
11	one	1493	ONE	2
#<<<				
12	two	1384	SECOND	2
12	two	1498	TWO	2
#>>>				
13	big	1202	BIG	2
#<<<				
14	long	1203	LONG	2
14	long	418	FOR A LONG TIME	2
14	long	3473	LONG (FOR SOMETHING)	2
#>>>				
15	small	1246	SMALL	2
16	woman	962	WOMAN	2
#<<<				
17	man	1554	MAN	2
17	man	683	PERSON	2
17	man	2106	MALE PERSON	2
#>>>				
18	person	683	PERSON	2
#<<<				
19	fish	227	FISH	2
19	fish	2638	FISHING	2
#>>>				
20	bird	937	BIRD	2
21	dog	2009	DOG	2
#<<<				
22	louse	1392	LOUSE	2
22	louse	310	HEAD LOUSE	2
#>>>				
23	tree	906	TREE	2
24	seed	714	SEED	2
#<<<				
25	leaf	628	LEAF	2
25	leaf	2250	LEAF (LEAFLIKE OBJECT)	2
#>>>				
26	root	670	ROOT	2
#<<<				
27	bark	1204	BARK	2
27	bark	1206	BARKING	2
#>>>				
#<<<				
28	skin	291	PULL OFF (SKIN)	2
28	skin	763	SKIN	2
28	skin	2614	SKIN (ANIMAL)	2
28	skin	2613	SKIN (HUMAN)	2
#>>>				
#<<<				
29	flesh	2259	FLESH	2
29	flesh	2615	FLESH OR MEAT	2
#>>>				
30	blood	946	BLOOD	2
31	bone	1394	BONE	2
#<<<				
32	grease	1282	FAT (FROM ANIMALS)	2
32	grease	323	FAT (ORGANIC SUBSTANCE)	2
32	grease	2557	PIG FAT	2
#>>>				
33	egg	744	EGG	2
#<<<				
34	horn	1393	HORN (ANATOMY)	2
34	horn	939	HORN (INSTRUMENT)	2
#>>>				
35	tail	1220	TAIL	2
36	feather	1201	FEATHER	2
#<<<				
37	hair	2648	HAIR (HEAD)	2
37	hair	1040	HAIR	2
37	hair	2381	FEATHER OR FUR OR HAIR	2
#>>>				
38	head	1256	HEAD	2
39	ear	1247	EAR	2
40	eye	1248	EYE	2
41	nose	1221	NOSE	2
42	mouth	674	MOUTH	2
43	tooth	1380	TOOTH	2
44	tongue	1205	TONGUE	2
45	claw	72	CLAW	2
#<<<				
46	foot	1301	FOOT	2
46	foot	2098	FOOT OR LEG	2
#>>>				
47	knee	1371	KNEE	2
48	hand	1277	HAND	2
49	belly	1251	BELLY	2
50	neck	1333	NECK	2
#<<<				
51	breast	1402	BREAST	2
51	breast	1592	CHEST	2
#>>>				
52	heart	1223	HEART	2
53	liver	1224	LIVER	2
#<<<				
54	drink	1401	DRINK	2
54	drink	731	BEVERAGE	2
#>>>				
55	eat	1336	EAT	2
56	bite	1403	BITE	2
57	see	1409	SEE	2
#<<<				
58	hear	1408	HEAR	2
58	hear	1247	EAR	2
#>>>				
#<<<				
59	know	3626	KNOW	2
59	know	1410	KNOW (SOMETHING)	2
59	know	2248	KNOW (SOMEBODY)	2
#>>>				
#<<<				
60	sleep	1585	SLEEP	2
60	sleep	2972	SLEEP (STATE)	2
#>>>				
61	die	1494	DIE	2
62	kill	1417	KILL	2
63	swim	1439	SWIM	2
#<<<				
64	fly	1504	FLY (INSECT)	2
64	fly	1441	FLY (MOVE THROUGH AIR)	2
#>>>				
#<<<				
65	walk	2979	WALK (MANNER)	2
65	walk	1443	WALK	2
#>>>				
66	come	1446	COME	2
#<<<				
67	lie	1411	LIE (REST)	2
67	lie	2826	LIE (FALSEHOOD)	2
67	lie	215	LIE DOWN	2
67	lie	601	LIE (MISLEAD)	2
#>>>				
#<<<				
68	sit	1649	SIT DOWN	2
68	sit	1416	SIT	2
#>>>				
#<<<				
69	stand	570	STAND UP	2
69	stand	1442	STAND	2
#>>>				
#<<<				
70	give	1447	GIVE	2
70	give	196	DONATE	2
#>>>				
71	say	1458	SAY	2
72	sun	1343	SUN	2
73	moon	1313	MOON	2
74	star	1430	STAR	2
#<<<				
75	water	2516	WATER BUFFALO	2
75	water	3078	IRRIGATE	2
75	water	948	WATER	2
#>>>				
#<<<				
76	rain	1253	RAIN (RAINING)	2
76	rain	658	RAIN (PRECIPITATION)	2
76	rain	2108	RAINING OR RAIN	2
#>>>				
#<<<				
77	stone	668	ROCK	2
77	stone	857	STONE	2
77	stone	1762	STONE (OF FRUIT)	2
#>>>				
#<<<				
78	sand	671	SAND	2
78	sand	3460	BEACH	2
#>>>				
#<<<				
79	earth	1228	EARTH (SOIL)	2
79	earth	965	WORLD	2
79	earth	2159	GROUND	2
79	earth	626	LAND	2
#>>>				
#<<<				
80	cloud	1489	CLOUD	2
80	cloud	448	STORM CLOUDS	2
#>>>				
#<<<				
81	smoke	1689	SMOKE (INHALE)	2
81	smoke	2859	SMOKE (EMIT SMOKE)	2
81	smoke	778	SMOKE (EXHAUST)	2
#>>>				
82	fire	221	FIRE	2
83	ashes	646	ASH	2
#<<<				
84	burn	2102	BURN	2
84	burn	3622	BURN (INJURY)	2
84	burn	141	BURN (SOMETHING)	2
84	burn	1428	BURNING	2
#>>>				
85	path	2252	PATH	2
86	mountain	639	MOUNTAIN	2
#<<<				
87	red	156	RED	2
87	red	388	FISHNET	2
#>>>				
88	green	1425	GREEN	2
89	yellow	1424	YELLOW	2
90	white	1335	WHITE	2
91	black	163	BLACK	2
92	night	1233	NIGHT	2
#<<<				
93	warm	1232	WARM	2
93	warm	2272	HOT OR WARM	2
#>>>				
#<<<				
93b	hot	1286	HOT	2
93b	hot	2272	HOT OR WARM	2
#>>>				
#<<<				
94	cold	2932	COLD (CHILL)	2
94	cold	102	COMMON COLD (DISEASE)	2
94	cold	2483	COLD (OF WEATHER)	2
94	cold	1287	COLD	2
#>>>				
95	full	1429	FULL	2
96	new	1231	NEW	2
97	good	1035	GOOD	2
#<<<				
98	round	1395	ROUND	2
98	round	2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	2
#>>>				
#<<<				
99	dry	1398	DRY	2
99	dry	1786	DRY UP	2
#>>>				
#<<<				
100	name	1405	NAME	2
100	name	180	CALL BY NAME	2
#>>>				
#	101/101	100%	

